pincode,latitude,longitude
110001,28.6333,77.2167
110002,28.6333,77.25
110003,28.65,77.2167
110004,28.65,77.2167
110005,28.65,77.2
110006,28.65,77.2167
110007,28.6833,77.2
110008,28.65,77.2167
110010,28.55,77.2667
110011,28.55,77.2667
110012,28.55,77.2667
110013,28.55,77.2667
110014,28.55,77.2667
110015,28.55,77.2667
110016,28.55,77.2667
110017,28.55,77.2667
110018,28.55,77.2667
110019,28.55,77.2667
110020,28.6488,77.1726
110021,28.6488,77.1726
110022,28.6488,77.1726
110023,28.6488,77.1726
110024,28.6488,77.1726
110025,28.6488,77.1726
110026,28.6488,77.1726
110027,28.6488,77.1726
110028,28.6488,77.1726
110029,28.6488,77.1726
110030,28.7556,77.1667
110031,28.7556,77.1667
110032,28.6667,77.3167
110033,28.7556,77.1667
110034,28.7556,77.1667
110035,28.7556,77.1667
110036,28.8,77.15
110037,28.7556,77.1667
110038,28.7556,77.1667
110039,28.8,77.0333
110040,28.85,77.1
110041,28.6092,77.1569
110042,28.6092,77.1569
110043,28.6125,76.9847
110044,28.5083,77.3
110045,28.5667,77.1
110046,28.6092,77.1569
110047,28.6092,77.1569
110048,28.6092,77.1569
110049,28.6092,77.1569
110051,28.6167,77.2167
110052,28.6167,77.2167
110053,28.6167,77.2167
110054,28.6167,77.2167
110055,28.6167,77.2167
110056,28.6167,77.2167
110057,28.6167,77.2167
110058,28.6167,77.2167
110059,28.6167,77.2167
110060,28.6488,77.1726
110061,28.6488,77.1726
110062,28.6488,77.1726
110063,28.6488,77.1726
110064,28.6488,77.1726
110065,28.6488,77.1726
110066,28.6488,77.1726
110067,28.6488,77.1726
110070,28.6528,76.9539
110071,28.6528,76.9539
110072,28.6528,76.9539
110073,28.6528,76.9539
110081,28.6488,77.1726
110082,28.6488,77.1726
110083,28.6488,77.1726
110084,28.6488,77.1726
110088,28.7165,77.1629
110091,28.6488,77.1726
110092,28.6488,77.1726
110093,28.6488,77.1726
110094,28.6488,77.1726
110096,28.6488,77.1726
121001,28.9915,76.2541
121002,28.9915,76.2541
121005,28.9915,76.2541
121006,28.9915,76.2541
121007,28.9915,76.2541
121101,28.9915,76.2541
121102,28.9915,76.2541
122001,28.09,76.9567
122005,28.09,76.9567
122015,28.09,76.9567
122016,28.09,76.9567
122050,28.09,76.9567
122101,28.4,77.05
122103,28.09,76.9567
122104,27.8,76.95
122105,28.09,76.9567
122106,28.2167,76.7833
122107,28.1167,77.0167
122108,27.9167,76.9833
122109,28.09,76.9567
122211,28.09,76.9567
123001,28.5,76.2111
123020,28.5,76.2111
123021,28.5,76.2111
123023,28.5,76.2111
123024,28.3833,75.9667
123025,28.7833,76.35
123027,28.3333,76.3167
123028,28.5,76.2111
123029,28.5,76.2111
123034,28.5,76.2111
123035,28.5,76.2111
123201,28.45,75.8167
123301,28.35,76.5167
123306,28.6,76.2667
123307,28.6833,76.3667
123308,28.5444,76.3833
123310,28.5444,76.3833
123401,28.1833,76.6167
123411,28.1833,76.6167
123412,28.1833,76.6167
123413,28.1833,76.6167
123414,28.1833,76.6167
123501,28.0833,76.5833
123502,28.2833,76.7667
123503,28.3167,76.7833
123504,28.2833,76.7667
123505,28.45,76.9333
123506,28.2833,76.7667
123508,28.2833,76.7667
124001,28.9,76.5667
124003,28.9,76.5667
124004,28.9,76.5667
124005,28.9,76.5667
124006,28.9,76.5667
124007,28.9,76.5667
124021,28.8667,76.45
124022,28.8667,76.45
124024,28.8667,76.45
124025,28.8667,76.45
124028,28.8667,76.45
124029,28.8667,76.45
124030,28.8833,76.5083
124031,28.8833,76.5083
124101,28.62,76.67
124102,28.6833,76.6167
124103,28.62,76.67
124104,28.6167,76.65
124105,28.5833,76.8167
124107,28.75,76.6167
124108,28.4667,76.65
124109,28.62,76.67
124110,28.8917,76.4167
124111,28.95,76.4333
124112,28.8917,76.4167
124113,28.8333,76.4
124114,28.8917,76.4167
124118,28.8917,76.4167
124120,28.7274,76.6286
124121,28.7274,76.6286
124124,28.7274,76.6286
124125,28.7274,76.6286
124126,28.7274,76.6286
124127,28.7274,76.6286
124129,28.7274,76.6286
124130,28.7274,76.6286
124131,28.7274,76.6286
124132,28.7274,76.6286
124133,28.7274,76.6286
124135,28.7274,76.6286
124136,28.7274,76.6286
124138,28.7274,76.6286
124139,28.7274,76.6286
124140,28.9356,76.8458
124202,28.9185,76.7051
124203,28.9185,76.7051
124204,28.9185,76.7051
124205,28.9185,76.7051
124301,29.3834,76.8126
124303,29.0167,76.6167
124304,29.3834,76.8126
124305,29.9336,77.0544
124306,29.2,76.7667
124307,29.3834,76.8126
124308,29.3834,76.8126
124309,29.3834,76.8126
124311,29.3834,76.8126
124314,29.3834,76.8126
124315,29.3834,76.8126
124316,29.3834,76.8126
124317,29.3834,76.8126
124318,29.3834,76.8126
124320,29.3834,76.8126
124321,29.3834,76.8126
124322,29.3834,76.8126
124324,29.3834,76.8126
124402,28.9397,76.8731
124403,28.9344,76.975
124404,28.9397,76.8731
124406,28.9397,76.8731
124407,28.9,76.8333
124408,28.9847,76.8111
124411,28.8894,76.7123
124412,28.75,76.4833
124413,28.9194,76.8981
124416,28.8894,76.7123
124417,28.8894,76.7123
124418,28.8894,76.7123
124421,29.4092,76.8781
124423,29.4092,76.8781
124424,29.4092,76.8781
124425,29.4092,76.8781
124426,29.4092,76.8781
124427,29.4092,76.8781
124428,29.4092,76.8781
124429,29.4092,76.8781
124430,28.9852,76.8049
124501,28.7764,76.7667
124502,28.7299,76.8417
124504,28.7299,76.8417
124505,28.7299,76.8417
124506,28.7299,76.8417
124507,28.6833,76.9167
124508,28.7299,76.8417
124509,28.7299,76.8417
124510,29.0333,76.4167
124511,29.0333,76.4167
124513,29.0333,76.4167
124514,29.0333,76.4167
124515,29.0333,76.4167
124516,29.0333,76.4167
124517,29.0333,76.4167
124518,29.0333,76.4167
124519,29.0333,76.4167
124520,28.831,76.7
124521,28.831,76.7
124522,28.831,76.7
124523,28.831,76.7
124524,28.831,76.7
124525,28.831,76.7
124527,28.831,76.7
124528,28.831,76.7
124529,28.831,76.7
124530,28.831,76.7
124531,28.831,76.7
124532,28.831,76.7
124533,28.831,76.7
125001,29.1118,75.7598
125002,29.1118,75.7598
125003,29.1118,75.7598
125004,29.1118,75.7598
125005,29.1118,75.7598
125011,29.1118,75.7598
125012,29.1118,75.7598
125024,28.8,76.075
125025,28.8,76.075
125026,28.8,76.075
125027,28.8833,76.25
125028,28.8,76.075
125029,28.7167,75.9
125030,28.65,75.95
125031,28.9833,76.0083
125032,28.9833,76.0083
125033,29.1,75.9667
125034,28.9833,76.0083
125035,28.9667,75.9667
125036,28.9833,76.0083
125037,28.9833,76.0083
125038,28.9833,76.0083
125039,29.2167,76.15
125040,28.8833,75.9167
125041,29.1167,75.725
125042,29.1167,75.725
125043,29.1167,75.725
125044,29.1167,75.725
125045,28.9667,75.6167
125046,28.9167,75.6167
125047,29.3333,75.6333
125048,29.4167,75.55
125049,29.1833,76.0167
125050,29.5333,75.0167
125051,29.5333,75.0167
125052,29.5333,75.0167
125054,29.5333,75.0167
125055,29.5333,75.0167
125056,29.5333,75.0167
125057,29.5333,75.0167
125058,29.5333,75.0167
125060,28.9333,76.1667
125061,28.9333,76.1667
125062,28.9333,76.1667
125063,28.9333,76.1667
125064,28.9333,76.1667
125065,28.9333,76.1667
125066,28.9333,76.1667
125067,28.9333,76.1667
125069,28.9333,76.1667
125071,29.5917,75.15
125073,29.5917,75.15
125074,29.5917,75.15
125076,29.5333,74.8333
125077,29.5917,75.15
125078,29.5917,75.15
125079,29.65,75.4667
125081,29.0167,75.9
125082,29.0167,75.9
125083,29.0167,75.9
125084,29.0167,75.9
125086,29.0167,75.9
125087,29.0167,75.9
125088,29.0167,75.9
125101,29.7833,74.5333
125102,29.45,74.65
125103,29.4278,74.9722
125104,29.4278,74.9722
125105,29.05,75.7333
125106,29.4278,74.9722
125107,29.4278,74.9722
125108,29.4278,74.9722
125109,29.4278,74.9722
125112,29.4167,76.6667
125201,29.85,74.95
125202,29.75,75.2
125203,29.8,75.075
126001,29.8,75.8333
126006,29.6583,75.85
126007,29.6583,75.85
126009,29.5167,75.8667
